id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name
subfields/2731,Ophthalmology,field of medicine treating eye disorders,741969,7583669,domains/4,Health Sciences,fields/27,Medicine
subfields/2708,Dermatology,"field of medicine dealing with the hair, nails, skin, and its diseases",739451,6054457,domains/4,Health Sciences,fields/27,Medicine
subfields/3306,Health,desirable level of functional or metabolic efficiency of a living being,723884,7782224,domains/2,Social Sciences,fields/33,Social Sciences
subfields/2213,"Safety, Risk, Reliability and Quality","state of being secure from harm, injury, danger, or other non-desirable outcomes",702820,3598605,domains/3,Physical Sciences,fields/22,Engineering
subfields/2808,Neurology,medical specialty dealing with disorders of the nervous system,686215,8850557,domains/1,Life Sciences,fields/28,Neuroscience
subfields/1804,"Statistics, Probability and Uncertainty","study of the collection, analysis, interpretation, and presentation of data",676618,7336888,domains/2,Social Sciences,fields/18,Decision Sciences
subfields/2214,Media Technology,"field of study and practice that explores the development, application, and impact of digital and media technologies in communication, entertainment, and information dissemination",674143,4437788,domains/3,Physical Sciences,fields/22,Engineering
subfields/2610,Mathematical Physics,use of mathematics to solve physics problems,671696,6199976,domains/3,Physical Sciences,fields/26,Mathematics
subfields/3300,General Social Sciences,academic disciplines concerned with society and the relationships between individuals in society,665283,756627,domains/2,Social Sciences,fields/33,Social Sciences
subfields/1103,Animal Science and Zoology,scientific study of animals,665004,7429169,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/2711,Emergency Medicine,medical specialty concerned with care for patients who require immediate medical attention,659805,5346499,domains/4,Health Sciences,fields/27,Medicine
subfields/3004,Pharmacology,branch of biology concerning drugs,659473,5513563,domains/1,Life Sciences,fields/30,"Pharmacology, Toxicology and Pharmaceutics"
subfields/2716,Genetics,"science of genes, heredity, and variation in living organisms",654845,9495167,domains/4,Health Sciences,fields/27,Medicine
subfields/2311,Industrial and Manufacturing Engineering,"discipline of engineering dealing with various manufacturing sciences and practices including the research, design and development of systems, processes, machines, tools, and equipment",643976,4707140,domains/3,Physical Sciences,fields/23,Environmental Science
subfields/1711,Signal Processing,models and analyzes data representations of physical events,619701,6532506,domains/3,Physical Sciences,fields/17,Computer Science
subfields/3616,Speech and Hearing,"interdisciplinary field focused on the study of speech, language, and hearing processes and disorders, encompassing assessment, diagnosis, and treatment of communication and auditory impairments",591253,2770406,domains/4,Health Sciences,fields/36,Health Professions
subfields/1206,Conservation,"practice of protecting the natural environment by individuals, organizations and governments",581159,710100,domains/2,Social Sciences,fields/12,Arts and Humanities
subfields/2732,Orthopedics and Sports Medicine,branch of medicine dealing with the correction of deformities of bones or muscles,560012,7569544,domains/4,Health Sciences,fields/27,Medicine
subfields/1104,Aquatic Science,multidisciplinary study of freshwater and marine ecosystems,550337,3974427,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences
subfields/3604,Emergency Medical Services,type of emergency service dedicated to providing out-of-hospital acute medical care and transport to definitive care,547670,3490274,domains/4,Health Sciences,fields/36,Health Professions
subfields/3605,Health Information Management,academic discipline,528317,1927201,domains/4,Health Sciences,fields/36,Health Professions
subfields/1305,Biotechnology,use of living systems and organisms to develop or make useful products,526920,5760581,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology"
subfields/2727,Nephrology,medical specialty that concerns itself with the kidneys,525521,7567907,domains/4,Health Sciences,fields/27,Medicine
subfields/3310,Linguistics and Language,book by Julia S. Falk,522869,2471007,domains/2,Social Sciences,fields/33,Social Sciences
subfields/1602,Analytical Chemistry,"study of the separation, identification, and quantification of the chemical components of materials",514423,6069482,domains/3,Physical Sciences,fields/16,Chemistry
subfields/2721,Hepatology,medical specialty,510517,8176005,domains/4,Health Sciences,fields/27,Medicine
subfields/3612,"Physical Therapy, Sports Therapy and Rehabilitation",health profession that aims to address the illnesses or injuries that limit a person's abilities to function in everyday lives,508886,2391228,domains/4,Health Sciences,fields/36,Health Professions
subfields/1907,Geology,"study of the composition, structure, physical properties, and history of Earth's components, and the processes by which they are shaped",500105,1935434,domains/3,Physical Sciences,fields/19,Earth and Planetary Sciences
